name,abbreviation,rank,EWP,W,L,GP,PW,PL,Ahead/Behind,PW Season,PL Season,points,opp_points,Point Diff,assists,opp_assists,Assist Diff,blocks,opp_blocks,Block Diff,defensive_rebounds,opp_defensive_rebounds,Def Reb Diff,field_goal_attempts,opp_field_goal_attempts,FG Att Diff,field_goal_percentage,field_goals,opp_field_goals,FG Diff,free_throw_attempts,opp_free_throw_attempts,FT Att Diff,free_throw_percentage,free_throws,opp_free_throws,FT Diff,games_played,minutes_played,offensive_rebounds,opp_offensive_rebounds,Off Reb Diff,opp_field_goal_percentage,opp_free_throw_percentage,personal_fouls,opp_personal_fouls,Personal Foul Diff,steals,opp_steals,Steal Diff,three_point_field_goal_attempts,opp_three_point_field_goal_attempts,3pt Att Diff,opp_three_point_field_goal_percentage,three_point_field_goals,opp_three_point_field_goals,3pt FG Diff,total_rebounds,opp_total_rebounds,Rebound Diff,turnovers,opp_turnovers,Turnover Diff,two_point_field_goal_attempts,opp_two_point_field_goal_attempts,2pt FG Att Diff,two_point_field_goals,opp_two_point_field_goals,2pt FG Diff,opp_two_point_field_goal_percentage,three_point_field_goal_percentage,two_point_field_goal_percentage
Los Angeles Lakers,LAL,2,0.8151553456361873,13.0,4.0,17.0,14.0,3.0,-1.0,67.0,15.0,2058,1881,177,449,427,22,116,79,37,666,590,76,1575,1611,-36,0.484,763,720,43,411,317,94,0.759,312,243,69,18,4320,183,164,19,0.447,0.767,334,380,-46,126,145,-19,566,583,-17,0.34,220,198,22,849,754,95,271,256,15,1009,1028,-19,543,522,21,0.508,0.389,0.538
Milwaukee Bucks,MIL,8,0.7849850220916698,10.0,6.0,16.0,13.0,3.0,-3.0,64.0,18.0,1921,1776,145,421,373,48,74,83,-9,590,532,58,1466,1447,19,0.49,719,658,61,329,307,22,0.733,241,236,5,16,3840,175,149,26,0.455,0.769,297,303,-6,136,105,31,613,583,30,0.384,242,224,18,765,681,84,231,225,6,853,864,-11,477,434,43,0.502,0.395,0.559
Los Angeles Clippers,LAC,6,0.7539268203445908,13.0,4.0,17.0,13.0,4.0,0.0,62.0,20.0,1951,1823,128,424,402,22,82,46,36,578,541,37,1448,1449,-1,0.485,702,676,26,346,335,11,0.841,291,258,33,17,4080,151,143,8,0.467,0.77,339,309,30,126,125,1,605,598,7,0.356,256,213,43,729,684,45,238,247,-9,843,851,-8,446,463,-17,0.544,0.423,0.529
Utah Jazz,UTA,18,0.7432755490599067,12.0,4.0,16.0,12.0,4.0,0.0,61.0,21.0,1811,1698,113,381,368,13,94,77,17,613,514,99,1411,1473,-62,0.468,660,650,10,313,290,23,0.712,223,219,4,16,3840,178,162,16,0.441,0.755,295,299,-4,92,126,-34,665,513,152,0.349,268,179,89,791,676,115,248,187,61,746,960,-214,392,471,-79,0.491,0.403,0.525
Denver Nuggets,DEN,4,0.6458122207777764,9.0,7.0,16.0,10.0,6.0,-1.0,53.0,29.0,1986,1915,71,461,452,9,70,74,-4,579,541,38,1537,1474,63,0.479,736,701,35,388,377,11,0.763,296,285,11,17,4205,197,159,38,0.476,0.756,349,382,-33,145,131,14,585,607,-22,0.376,218,228,-10,776,700,76,247,261,-14,952,867,85,518,473,45,0.546,0.373,0.544
Brooklyn Nets,BRK,1,0.6372967305697358,10.0,8.0,18.0,11.0,7.0,-1.0,52.0,30.0,2263,2187,76,501,476,25,115,76,39,709,645,64,1666,1797,-131,0.488,813,812,1,442,419,23,0.817,361,325,36,19,4635,161,206,-45,0.452,0.776,371,388,-17,120,155,-35,698,675,23,0.353,276,238,38,870,851,19,294,249,45,968,1122,-154,537,574,-37,0.512,0.395,0.555
Boston Celtics,BOS,19,0.6114355820850214,9.0,6.0,15.0,9.0,6.0,0.0,50.0,32.0,1808,1759,49,371,362,9,91,88,3,541,519,22,1419,1370,49,0.476,675,636,39,343,386,-43,0.755,259,299,-40,16,3840,175,153,22,0.464,0.775,345,323,22,144,129,15,519,514,5,0.366,199,188,11,716,672,44,244,246,-2,900,856,44,476,448,28,0.523,0.383,0.529
Philadelphia 76ers,PHI,3,0.6085247713336289,12.0,5.0,17.0,10.0,7.0,2.0,50.0,32.0,2047,1993,54,432,459,-27,119,81,38,649,600,49,1570,1621,-51,0.475,745,717,28,453,427,26,0.77,349,325,24,18,4345,183,193,-10,0.442,0.761,374,388,-14,161,150,11,576,630,-54,0.371,208,234,-26,832,793,39,296,276,20,994,991,3,537,483,54,0.487,0.361,0.54
Indiana Pacers,IND,7,0.5876137362014189,9.0,7.0,16.0,9.0,7.0,0.0,48.0,34.0,1931,1890,41,445,419,26,94,100,-6,580,592,-12,1520,1497,23,0.475,722,691,31,367,382,-15,0.766,281,291,-10,17,4130,144,169,-25,0.462,0.762,362,326,36,158,124,34,577,549,28,0.395,206,217,-11,724,761,-37,233,261,-28,943,948,-5,516,474,42,0.5,0.357,0.547
Atlanta Hawks,ATL,20,0.5848932298768885,8.0,8.0,16.0,9.0,7.0,-1.0,48.0,34.0,1799,1762,37,390,378,12,76,89,-13,592,555,37,1423,1461,-38,0.443,630,648,-18,421,347,74,0.805,339,281,58,16,3865,187,173,14,0.444,0.81,320,330,-10,112,133,-21,573,571,2,0.324,200,185,15,779,728,51,238,212,26,850,890,-40,430,463,-33,0.52,0.349,0.506
